<<<<<<< HEAD
Feature,KL GAN,KL MICE
=======
Feature, KL_GAN, KL_MICE
>>>>>>> George-Working
Volume,0.017946719842799566,0.017776656017761044
mom,0.011571972338095008,0.011568901264516785
mom1,0.01011128965439459,0.01012750682186985
mom2,0.009449303516875653,0.00953421904447505
mom3,0.00832624121663618,0.008589608470635812
ROC_5,0.013328131279980613,0.012805040475509177
ROC_10,0.013846895930460458,0.012049187387119431
ROC_15,0.013327298558084556,0.013560896288304942
ROC_20,0.023538773946846298,0.02058154524840724
EMA_10,0.038415316921344776,0.033795508036783134
EMA_20,0.03721225896943005,0.035271827118017594
EMA_50,0.03871130033846397,0.031184107946826592
EMA_200,0.0579842297222883,0.029576749057117668
DTB4WK,0.03952960741166128,0.03952960741166128
DTB3,0.05113595271510697,0.05113595271510697
DTB6,0.0514732170453779,0.0514732170453779
DGS5,0.021500839721600752,0.021500839721600752
DGS10,0.0258691901120225,0.0258691901120225
Oil,0.008690682880424808,0.00871973712066438
Gold,0.01600148895572935,0.015459647748644235
DAAA,0.02661251173077446,0.02661251173077446
DBAA,0.0352433228701651,0.0352433228701651
GBP,0.2179929578705944,0.019765090743103265
JPY,0.19253961456332375,0.0219147462384608
CAD,0.14985005141118055,0.019259214306792217
CNY,0.13009254501214393,0.05134638170157688
AAPL,0.009472936516686173,0.009365089498894209
AMZN,0.00876009196312903,0.008840214013101111
GE,0.01628809154582975,0.01623767416876193
JNJ,0.007879606768422653,0.007855528882856944
JPM,0.00951013200616169,0.009521606505635978
MSFT,0.008821224141809862,0.008679334014478127
WFC,0.010315791399830432,0.010207271659473209
XOM,0.008854051640363902,0.008850441708701612
FCHI,0.025317372688461355,0.013237349354155957
FTSE,0.01297503825643304,0.012468990257934126
GDAXI,0.024297214861692125,0.014968381099938425
GSPC,0.012521729053071043,0.012462529204856543
HSI,0.014645913703252212,0.009437706522827142
DJI,0.009756606390798499,0.009823093366613335
SSEC,0.0913316351753447,0.00689138883093904
RUT,0.012283040120193123,0.012283040120193123
NYSE,0.012028588552424925,0.011960641074088327
TE1,0.03825590606541997,0.03825590606541997
TE2,0.041868842184977204,0.041868842184977204
TE3,0.0443185223706469,0.0443185223706469
TE5,0.014705172959387607,0.014705172959387607
TE6,0.0221616793674747,0.0221616793674747
DE1,0.023264207226699526,0.023264207226699526
DE2,0.026192538944730986,0.026192538944730986
DE4,0.05154922862024978,0.05154922862024978
DE5,0.04454541139891754,0.04454541139891754
DE6,0.03895171964548669,0.03895171964548669
CTB3M,0.011238619558100656,0.011361696047389234
CTB6M,0.003795389337692325,0.0033229320120606496
CTB1Y,0.0046711410963020655,0.004144479517422523
AUD,0.010418212174496597,0.010418212174496597
Brent,0.013038625368608064,0.013038625368608064
CAC-F,0.014848606346250608,0.01479516108188351
copper-F,0.008275136205202632,0.008275136205202632
WIT-oil,0.008498352868091663,0.008498352868091663
DAX-F,0.011761589367624873,0.01188766218388283
DJI-F,0.010682731631931201,0.010682731631931201
EUR,0.00896149328544474,0.00896149328544474
FTSE-F,0.011250052560822786,0.011321883886702945
gold-F,0.00935399547827621,0.00935399547827621
HSI-F,0.015766600313841313,0.00994396246187543
KOSPI-F,0.01978771950282651,0.011411709191094929
NASDAQ-F,0.010963313403555695,0.010963313403555695
GAS-F,0.009235351929552542,0.009235351929552542
Nikkei-F,0.007995828504529524,0.007995828504529524
NZD,0.005875430566736589,0.005875430566736589
silver-F,0.007017396609938847,0.007017396609938847
RUSSELL-F,0.012424760883660992,0.012424760883660992
S&P-F,0.01255301498917393,0.01255301498917393
CHF,0.002591164643439902,0.002591164643439902
Dollar index-F,0.006824044303593432,0.006824044303593432
Dollar index,0.00451473098311216,0.00451473098311216
wheat-F,0.0073323708471658925,0.007239202524036844
XAG,0.007323628563834609,0.007323628563834609
XAU,0.0103155299125565,0.0103155299125565
